Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
35,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,18_formal-writing ,ja
36,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,18_formal-writing -quantised,1
37,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,response-1,ja
38,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,response-1-quantised,1
39,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,20_formal-reading,ja
40,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,20_formal-reading-quantised,1
41,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,21_informal-reading,ja
42,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,21_informal-reading-quantised,1
43,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,END QUESTIONNAIRE,196492
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
